;;CISD;XNYS;S;NYSE NATIONAL, INC. - DARK;;NEW YORK;WWW.NYSE.COM;Okt 19;ACTIVE;Okt 19;DARK MIC FOR NYSE NATIONAL.
;;CLST;CLST;O;CLEAR STREET;CLST;NEW YORK;HTTPS://CLEARSTREET.IO/;Aug 20;ACTIVE;Aug 20;
;;CMES;XCME;S;CME SWAPS MARKETS (CME);;CHICAGO;WWW.CMEGROUP.COM;Okt 13;ACTIVE;Okt 13;REGISTERED MARKET FOR SWAP EXECUTION IN THE US
;;CMSF;CMSF;O;CLEAR MARKETS NORTH AMERICA, INC.;CM SEF;CHARLOTTE;WWW.CLEAR-MARKETS.COM;Jul 14;ACTIVE;Jul 14;CFTC REGISTERED SWAP EXECUTION FACILITY
;;CODA;CODA;O;CODA MARKETS - MICRO AND BLOCK;CODA;GLENVIEW;WWW.CODAMARKETS.COM;Mai 19;ACTIVE;Nov 18;ON-DEMAND AUCTION BASED ALTERNATIVE TRADING SYSTEM (DARK) OFFERING TWO AUCTION TYPES.
;;COHR;COHR;O;COMHAR CAPITAL MARKETS, LLC;;CHICAGO;;Jan 20;ACTIVE;Jan 20;
;;CPGX;CPGX;O;CLEARPOOL EXECUTION SERVICES, LLC;;NEW YORK;WWW.CLEARPOOLGROUP.COM;Mrz 19;ACTIVE;Mrz 19;ELECTRONIC TRADING PLATFORM.
;;CRED;CRED;O;CREDIT SUISSE (US);;NEW YORK;WWW.CREDIT-SUISSE.COM;Aug 12;ACTIVE;Aug 12;
;;CSCL;CRED;S;CREDIT SUISSE CLOSEX;;NEW YORK;WWW.CREDIT-SUISSE.COM;Nov 19;ACTIVE;Nov 19;
;;CSVW;CRED;S;CREDIT SUISSE VWAPX;;NEW YORK;WWW.CREDIT-SUISSE.COM;Nov 19;ACTIVE;Nov 19;
;;CURX;CURX;O;CUREX FX;;NEW YORK;WWW.CUREXGROUP.COM;Nov 17;ACTIVE;Nov 17;FOREIGN EXCHANGE ELECTRONIC COMMUNICATION NETWORK (ECN).
;;DASH;DASH;O;DASH ATS;;CHICAGO;WWW.DASHFINANCIAL.COM;Jul 19;ACTIVE;Jul 19;ALTERNATIVE TRADING SYSTEM.
;;DBAB;DBAB;O;DEUTSCHE BANK SECURITIES INC.;;NEW YORK;WWW.DB.COM;Mrz 19;ACTIVE;Mrz 19;
;;DEAL;DEAL;O;DCX (DERIVATIVES CURRENCY EXCHANGE);DCX;NEW YORK;WWW.FXCMPRO.COM/DCX;Feb 12;ACTIVE;Feb 12;MULTI-BANK ELECTRONIC TRADING PLATFORM FOR FX OPTIONS
;;DWFI;DWFI;O;DEALERWEB FIXED INCOME;;JERSEY CITY;WWW.TRADEWEB.COM;Dez 18;ACTIVE;Dez 18;
;;DWSF;TRWB;S;DW SEF LLC;DWSEF;NEW YORK;WWW.TRADEWEB.COM;Jul 14;ACTIVE;Jul 14;ELECTRONIC PLATFORM FOR TRADING IN SWAPS AND DERIVATIVES
;;EBXV;LEVL;S;LEVEL ATS - VWAP CROSS;LEVEL;BOSTON;WWW.LEVELATS.COM;Mrz 21;ACTIVE;Mrz 21;
;;EDDP;XCBO;S;CBOE EDGX U.S. EQUITIES EXCHANGE DARK;EDGXDARK;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Mai 11;CBOE EDGX U.S. EQUITIES EXCHANGE NON-DISPLAYED.
;;EDGA;XCBO;S;CBOE EDGA U.S. EQUITIES EXCHANGE;EDGA;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Mai 10;
;;EDGD;XCBO;S;CBOE EDGA U.S. EQUITIES EXCHANGE DARK;EDGADARK;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Mai 11;CBOE EDGA U.S. EQUITIES EXCHANGE NON-DISPLAYED.
;;EDGO;XCBO;S;CBOE EDGX OPTIONS EXCHANGE;EDGO;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Jun 15;CBOE EDGX OPTIONS EXCHANGE.
;;EDGX;XCBO;S;CBOE EDGX U.S. EQUITIES EXCHANGE;EDGX;CHICAGO;HTTP://MARKETS.CBOE.COM/;Jun 18;ACTIVE;Mai 10;
;;EGMT;EGMT;O;EG MARKET TECHNOLOGIES;;NEW YORK;WWW.EGLP.COM;Nov 16;ACTIVE;Nov 16;REGISTERED MARKET MAKER FOR EQUITIES.
;;EMLD;MIHI;S;MIAX EMERALD, LLC;EMLD;PRINCETON;WWW.MIAXOPTIONS.COM;Mrz 18;ACTIVE;Mrz 18;MIAX EMERALD: ELECTRONIC TRADING FOR DERIVATIVES.
;;EPRD;MIHI;S;MIAX PEARL EQUITIES EXCHANGE DARK;EPRD;PRINCETON;WWW.MIAXEQUITIES.COM;Aug 20;ACTIVE;Aug 20;MIAX PEARL: ELECTRONIC TRADING FOR EQUITIES NON-DISPLAYED (DARK) EXECUTIONS.
;;EPRL;MIHI;S;MIAX PEARL EQUITIES;EPRL;PRINCETON;WWW.MIAXEQUITIES.COM;Feb 20;ACTIVE;Feb 20;MIAX PEARL: ELECTRONIC TRADING FOR EQUITIES.
;;EQUS;EQUS;O;EQUILEND LLC;;NEW YORK;WWW.EQUILEND.COM;Nov 20;ACTIVE;Nov 20;
