Product Status;Instrument Status;Instrument;ISIN;Product ID;Instrument ID;WKN;Mnemonic;Primary Market MIC Code
Active;Active;HANETF-ICLIMA S.ENER. DLA;IE00BLCH4S17;384457;6565923;000A2QQVZ;DGEN;XDUB
Active;Active;GLXETFGXUSIDEV DLA;IE00BLCHJ534;430715;7007368;000A2QPB5;94VE;XDUB
Active;Active;GL X ETF-GXROBSAI DLA;IE00BLCHJB90;432886;7025997;000A2QPBW;XB0T;XDUB
Active;Active;GL X ETF-GXRENENP DLA;IE00BLCHJH52;442732;7121504;000A2QPB6;R4RU;XDUB
Active;Active;GL X ETF-GXLIBATC DLA;IE00BLCHJN13;442735;7121507;000A2QPB3;LI7U;XDUB
Active;Active;GL X ETF-GXINTOTH DLA;IE00BLCHJT74;432888;7025999;000A2QPB1;SN5R;XDUB
Active;Active;GL X ETF-GXFINTC DLA;IE00BLCHJZ35;432887;7025998;000A2QPBZ;XFIN;XDUB
Active;Active;ISHSIII-EUR GOV.B.C.EO D.;IE00BLDGH447;294585;5671270;000A2P2A6;SECD;XFRA
Active;Active;ISHSIII-EUR GOV.B.C.EO A.;IE00BLDGH553;294586;5671271;000A2P2A7;SECA;XFRA
Active;Active;SPDR BL.SASB EO EOA;IE00BLF7VW10;298500;5694644;000A2QB0P;SPPR;XAMS
Active;Active;SSEEI-SBSUCEE. UNHDLA;IE00BLF7VX27;300455;5739322;000A2QB0R;SPPU;XFRA
Active;Active;HANETF-S+PGLCLENSELHNZETF;IE00BLH3CQ86;386178;6570902;000A3CPGG;ZER0;XDUB
Active;Active;HANETFPROCSPACE DLA;IE00BLH3CV30;380119;6498298;000A3CUJ9;YODA;XDUB
Active;Active;IS3-ESG MA G.P. EOA;IE00BLLZQ805;287606;5579531;000A2P1TV;MAGR;XFRA
Active;Active;IS3-ESG MA M.P. EOA;IE00BLLZQS08;287605;5579530;000A2P1TU;MODR;XFRA
Active;Active;X(IE)-S+P 500 E.WGHT 1CDL;IE00BLNMYC90;53351;2505444;000A1106A;XDEW;XLON
Active;Active;IS3-ESG MA C.P. EOA;IE00BLP53M98;287604;5579529;000A2P1TT;MACV;XFRA
Active;Active;WI.IC.CYBER.E. DLA;IE00BLPK3577;330625;6065335;000A2QGAH;W1TB;XDUB
Active;Active;GL X-V.GM.ESP.DLA;IE00BLR6Q544;334450;6080967;000A2QKQ5;H3R0;XDUB
Active;Active;GL X-TLM.DI.H. DLA;IE00BLR6QB00;334451;6080968;000A2QKQ1;DDOC;XDUB
Active;Active;INVESCOM2 CLEAN ENERGY D;IE00BLRB0028;473211;7388637;000A2QGZW;G1CD;XDUB
Active;Active;INVESCOM2 CLEAN ENERGY A;IE00BLRB0242;344426;6174625;000A2QGZV;G1CE;XDUB
Active;Active;FID-FSREUSEQETF DLA;IE00BLRPN388;310514;5863880;000A2P2QA;FYER;XDUB
Active;Active;RIZE.U.I-S.F.F. ADLA;IE00BLRPQH31;285461;5566101;000A2P876;RIZF;XAMS
Active;Active;RIZE U.I-ETDL ADLA;IE00BLRPQJ54;285462;5566102;000A2P877;LERN;XFRA
Active;Active;LG E.C.CNY B.E. DLD;IE00BLRPQL76;314618;5894201;000A2QFVU;DRGN;XFRA
Active;Active;LG ESG EMGB 0-5YE DLD;IE00BLRPQP15;314617;5894200;000A2QFQ5;EMA5;XFRA
Active;Active;LG ESG DL CB E. DLD;IE00BLRPRD67;328447;6047282;000A2QFQ4;USAB;XFRA
Active;Active;LG E EM CB E. DLD;IE00BLRPRF81;328448;6047283;000A2QFP0;EMAB;XFRA
Active;Active;WITR MU.AS.I.VIX ETP 2062;IE00BLRPRH06;314821;5902384;000A3GL7G;VIXL;XMIL
Active;Active;WITR MU.AS.I.GAS ETP 2062;IE00BLRPRJ20;314817;5902380;000A3GL7D;3QSS;XLON
Active;Active;WITR MU.AS.I.NA100 3X 62;IE00BLRPRL42;314815;5902378;000A3GL7E;3QQQ;XBER
Active;Active;RIZE-DI.PA.CR.EC.DLA;IE00BLRPRQ96;430713;7007366;000A3CN9T;PMNT;XLON
Active;Active;RIZE-EN.IM.OP. ETFDLA;IE00BLRPRR04;394158;6644536;000A3CN9S;WRLD;XFRA
Active;Active;PENTAIR PLC        DL-,01;IE00BLS09M33;326802;6014088;000A115FG;PNT;XNYS
Active;Active;WITR MU.AS.I. ETP 2062;IE00BLS09N40;314818;5902381;000A14JCP;0LJI;XLON
Active;Active;SP500 ESEL E. ADLA;IE00BLSN7P11;346607;6192419;000A2QMF1;AW1C;XSWX
Active;Active;SP500 ESEL E. AEOA;IE00BLSN7W87;346608;6192420;000A2QMFY;AW1B;XFRA
Active;Active;INVESCOM3 GLO BUYBACH A;IE00BLSNMW37;53352;2505445;000A114UD;BBCK;XDUB
Active;Active;X(IE)-MSCI WO.HE.CA. 1CDL;IE00BM67HK77;53360;2505453;000A113FD;XDWH;XETR
Active;Active;X(IE)-MSCI WRLD FIN. 1CDL;IE00BM67HL84;53361;2505454;000A113FE;XDWF;XETR
Active;Active;X(IE)-MSCI WO.ENERGY 1CDL;IE00BM67HM91;53362;2505455;000A113FF;XDW0;XETR
Active;Active;X(IE)-MSCI WO.CO.ST. 1CDL;IE00BM67HN09;53363;2505456;000A113FG;XDWS;XETR
Active;Active;X(IE)-MSCI WO.CO.DI. 1CDL;IE00BM67HP23;53364;2505457;000A113FH;XDWC;XETR
Active;Active;X(IE)-MSCI WO.UTILIT.1CDL;IE00BM67HQ30;53365;2505458;000A113FJ;XDWU;XETR
Active;Active;X(IE)-MSCI WO.CO.SER.1CDL;IE00BM67HR47;53366;2505459;000A113FK;XWTS;XETR
Active;Active;X(IE)-MSCI WO.MATER. 1CDL;IE00BM67HS53;53367;2505460;000A113FL;XDWM;XETR
Active;Active;X(IE)-MSCI WO.IN.TE. 1CDL;IE00BM67HT60;53368;2505461;000A113FM;XDWT;XETR
Active;Active;X(IE)-MSCI WO.INDUST.1CDL;IE00BM67HV82;53369;2505462;000A113FN;XDWI;XETR
Active;Active;X(IE)-S+P 500 1CEOH;IE00BM67HW99;53370;2505463;000A113FP;XDPE;XFRA
Active;Active;INVESCOMI SUP500 EQ WEIGH;IE00BM8QRY62;473213;7388639;000A2QP64;SP2D;XDUB
Active;Active;INVESCOM2 SOLAR ENERGY ET;IE00BM8QRZ79;398616;6676157;000A2QQ9R;S0LR;XDUB
Active;Active;INVESCOM2 MSCI CHINA TECH;IE00BM8QS095;381741;6502687;000A3CMY8;ICNT;XDUB
Active;Active;GL X ETF-GLXGENBIOT DLA;IE00BM8R0N95;430714;7007367;000A2QRCP;GN0M;XDUB
Active;Active;X(IE)-US TR.USH BD 1CDL;IE00BM97MR69;287546;5578451;000A2P7TP;XT01;XFRA
Active;Active;FID.2-SGCBM E. INCDLD;IE00BM9GRM34;352458;6264039;000A2QKWP;FSCM;XSWX
